
"Banco de México"

"Balanza de pagos"
"Ingresos por Remesas"

"Fecha de consulta: 14/05/2022 10:58:21"

""

"Título","Remesas Familiares, Total","Remesas Familiares, Money Orders","Remesas Familiares, Cheques Personales","Remesas Familiares, Transferencias Electrónicas","Remesas Familiares, Efectivo y Especie","Remesas Familiares, Total","Remesas Familiares, Money Orders","Remesas Familiares, Cheques Personales","Remesas Familiares, Transferencias Electrónicas","Remesas Familiares, Efectivo y Especie","Remesas Familiares, Promedio Total","Remesas Familiares, Promedio Money Orders","Remesas Familiares, Promedio Cheques Personales","Remesas Familiares, Promedio Transferencias Electrónicas","Remesas Familiares, Promedio Efectivo y Especie"
"Periodo disponible","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022","Ene 1995 - Mar 2022"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos"
"Unidad","Millones de Dólares","Millones de Dólares","Millones de Dólares","Millones de Dólares","Millones de Dólares","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Dólares","Dólares","Dólares","Dólares","Dólares"
"Base","","","","","","","","","","","","","","",""
"Aviso","","","","","","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SE27803","SE27804","SE27805","SE27806","SE27807","SE27808","SE27809","SE27810","SE27811","SE27812","SE28647","SE28648","SE28649","SE28650","SE28651"
01/01/1995,254.5724,98.1427,2.0648,132.8102,21.5547,767.8930,344.9270,5.4350,380.4330,37.0980,332.0000,285.0000,380.0000,349.0000,581.0000
01/02/1995,248.0605,90.7991,1.4335,131.3008,24.5272,755.2670,307.8130,4.6690,395.0200,47.7650,328.0000,295.0000,307.0000,332.0000,513.0000
01/03/1995,287.3645,104.2090,2.0369,157.2022,23.9163,894.6020,345.0510,4.8170,477.0030,67.7320,321.0000,302.0000,423.0000,330.0000,353.0000
01/04/1995,298.9135,118.2196,2.7920,155.2538,22.6480,919.7670,388.0860,6.2560,467.3210,58.1040,325.0000,305.0000,446.0000,332.0000,390.0000
01/05/1995,357.7396,144.3860,2.7260,189.6743,20.9533,1132.7110,477.8710,5.4240,604.6410,44.7750,316.0000,302.0000,503.0000,314.0000,468.0000
01/06/1995,352.3695,142.5336,2.7017,175.5759,31.5583,1026.2960,398.0180,5.4240,567.9920,54.8620,343.0000,358.0000,498.0000,309.0000,575.0000
01/07/1995,342.8993,132.0604,1.3004,179.4495,30.0890,986.8470,378.9070,3.6190,546.2090,58.1120,347.0000,349.0000,359.0000,329.0000,518.0000
01/08/1995,362.2739,155.8545,2.8595,175.6895,27.8705,1015.4160,413.0170,7.8790,553.4670,41.0530,357.0000,377.0000,363.0000,317.0000,679.0000
01/09/1995,314.1492,134.9185,1.5737,161.3099,16.3471,940.4230,372.7570,3.8610,532.9490,30.8560,334.0000,362.0000,408.0000,303.0000,530.0000
01/10/1995,324.5033,124.9983,3.1779,172.5369,23.7902,1099.2050,378.4510,5.4540,667.4680,47.8320,295.0000,330.0000,583.0000,258.0000,497.0000
01/11/1995,255.5922,98.3346,1.6128,132.4554,23.1894,814.0540,284.8110,3.1490,474.6320,51.4620,314.0000,345.0000,512.0000,279.0000,451.0000
01/12/1995,274.2883,111.8314,1.9221,127.9724,32.5624,910.6710,331.2240,4.4640,477.4980,97.4850,301.0000,338.0000,431.0000,268.0000,334.0000
01/01/1996,313.5091,117.2520,2.6261,149.2343,44.3967,960.9390,333.1760,5.2560,556.6450,65.8630,326.0000,352.0000,500.0000,268.0000,674.0000
01/02/1996,281.9257,100.6053,1.1009,151.0169,29.2027,903.7410,286.6000,2.5930,566.2660,48.2820,312.0000,351.0000,425.0000,267.0000,605.0000
01/03/1996,337.3185,116.1760,5.2858,183.8997,31.9570,1057.3130,341.3960,10.0690,650.0160,55.8310,319.0000,340.0000,525.0000,283.0000,572.0000
01/04/1996,393.3877,152.6210,9.5368,205.5746,25.6553,1204.2580,452.6100,12.8400,693.9780,44.8300,327.0000,337.0000,743.0000,296.0000,572.0000
01/05/1996,413.5420,145.4985,8.0450,222.5487,37.4498,1336.1390,464.5960,13.3920,799.6980,58.4520,310.0000,313.0000,601.0000,278.0000,641.0000
01/06/1996,365.2451,130.7826,9.8696,197.7678,26.8250,1126.7570,359.6620,12.7430,703.1320,51.2200,324.0000,364.0000,775.0000,281.0000,524.0000
01/07/1996,373.6705,138.2641,7.5525,197.9108,29.9431,1150.9110,358.3630,10.8400,712.0610,69.6470,325.0000,386.0000,697.0000,278.0000,430.0000
01/08/1996,386.0666,151.9365,10.6265,193.1050,30.3987,1244.6010,440.2560,15.0730,716.2660,73.0060,310.0000,345.0000,705.0000,270.0000,416.0000
01/09/1996,339.2533,115.2315,4.2409,189.2801,30.5007,1046.6660,291.6980,6.6270,706.1070,42.2330,324.0000,395.0000,640.0000,268.0000,722.0000
01/10/1996,348.9010,128.2713,5.5765,192.4295,22.6238,1120.6430,346.7700,7.4940,734.6720,31.7070,311.0000,370.0000,744.0000,262.0000,714.0000
01/11/1996,315.6016,99.9469,4.2519,167.5603,43.8424,952.5880,254.9220,6.0790,635.6830,55.9040,331.0000,392.0000,699.0000,264.0000,784.0000
01/12/1996,355.2609,123.1132,6.0800,171.5172,54.5504,1103.5010,296.8130,7.1730,687.9970,111.5180,322.0000,415.0000,848.0000,249.0000,489.0000
01/01/1997,338.6477,117.6070,4.3898,167.6006,49.0504,1105.4930,383.5080,5.9500,615.7600,100.2750,306.0000,307.0000,738.0000,272.0000,489.0000
01/02/1997,331.5918,110.2971,2.0718,185.9408,33.2821,1044.4670,314.4730,2.1780,672.0600,55.7570,317.0000,351.0000,951.0000,277.0000,597.0000
01/03/1997,381.9072,123.4019,5.8655,218.8305,33.8093,1214.6710,361.4000,7.2730,789.1120,56.8860,314.0000,341.0000,807.0000,277.0000,594.0000
01/04/1997,425.5386,155.3842,5.5838,235.3906,29.1801,1325.2100,456.4780,7.5280,817.3050,43.8990,321.0000,340.0000,742.0000,288.0000,665.0000
01/05/1997,486.6894,168.1975,10.9127,268.3548,39.2244,1492.8470,443.4620,16.7100,971.6270,61.0480,326.0000,379.0000,653.0000,276.0000,643.0000
01/06/1997,453.5596,174.7165,10.3746,242.0224,26.4462,1444.5370,518.0720,12.4140,858.7650,55.2870,314.0000,337.0000,836.0000,282.0000,478.0000
01/07/1997,441.6863,173.2139,6.6553,232.2968,29.5202,1393.2930,472.2310,9.2440,836.6410,75.1770,317.0000,367.0000,720.0000,278.0000,393.0000
01/08/1997,428.9022,156.4143,6.5981,235.9204,29.9693,1353.7570,419.0620,3.7130,852.1800,78.8030,317.0000,373.0000,1777.0000,277.0000,380.0000
01/09/1997,431.4678,158.4465,6.5413,236.4101,30.0700,1353.5780,437.8520,3.6810,866.4590,45.5860,319.0000,362.0000,1777.0000,273.0000,660.0000
